date_id,date,day,month,quarter,year
D001,2026-01-01,1,1,Q1,2026
D002,2026-01-02,2,1,Q1,2026
D003,2026-01-03,3,1,Q1,2026
D004,2026-01-04,4,1,Q1,2026
D005,2026-01-05,5,1,Q1,2026
D006,2026-01-06,6,1,Q1,2026
D007,2026-01-07,7,1,Q1,2026
D008,2026-01-08,8,1,Q1,2026
D009,2026-01-09,9,1,Q1,2026
D010,2026-01-10,10,1,Q1,2026
D011,2026-01-11,11,1,Q1,2026
D012,2026-01-12,12,1,Q1,2026
D013,2026-01-13,13,1,Q1,2026
D014,2026-01-14,14,1,Q1,2026
D015,2026-01-15,15,1,Q1,2026
D016,2026-01-16,16,1,Q1,2026
D017,2026-01-17,17,1,Q1,2026
D018,2026-01-18,18,1,Q1,2026
D019,2026-01-19,19,1,Q1,2026
D020,2026-01-20,20,1,Q1,2026
D021,2026-01-21,21,1,Q1,2026
D022,2026-01-22,22,1,Q1,2026
D023,2026-01-23,23,1,Q1,2026
D024,2026-01-24,24,1,Q1,2026
D025,2026-01-25,25,1,Q1,2026
D026,2026-01-26,26,1,Q1,2026
D027,2026-01-27,27,1,Q1,2026
D028,2026-01-28,28,1,Q1,2026
D029,2026-01-29,29,1,Q1,2026
D030,2026-01-30,30,1,Q1,2026
D031,2026-01-31,31,1,Q1,2026
D032,2026-02-01,1,2,Q1,2026
D033,2026-02-02,2,2,Q1,2026
D034,2026-02-03,3,2,Q1,2026
D035,2026-02-04,4,2,Q1,2026
D036,2026-02-05,5,2,Q1,2026
D037,2026-02-06,6,2,Q1,2026
D038,2026-02-07,7,2,Q1,2026
D039,2026-02-08,8,2,Q1,2026
D040,2026-02-09,9,2,Q1,2026
D041,2026-02-10,10,2,Q1,2026
D042,2026-02-11,11,2,Q1,2026
D043,2026-02-12,12,2,Q1,2026
D044,2026-02-13,13,2,Q1,2026
D045,2026-02-14,14,2,Q1,2026
D046,2026-02-15,15,2,Q1,2026
D047,2026-02-16,16,2,Q1,2026
D048,2026-02-17,17,2,Q1,2026
D049,2026-02-18,18,2,Q1,2026
D050,2026-02-19,19,2,Q1,2026
D051,2026-02-20,20,2,Q1,2026
D052,2026-02-21,21,2,Q1,2026
D053,2026-02-22,22,2,Q1,2026
D054,2026-02-23,23,2,Q1,2026
D055,2026-02-24,24,2,Q1,2026
D056,2026-02-25,25,2,Q1,2026
D057,2026-02-26,26,2,Q1,2026
D058,2026-02-27,27,2,Q1,2026
D059,2026-02-28,28,2,Q1,2026
D060,2026-03-01,1,3,Q1,2026
D061,2026-03-02,2,3,Q1,2026
D062,2026-03-03,3,3,Q1,2026
D063,2026-03-04,4,3,Q1,2026
D064,2026-03-05,5,3,Q1,2026
D065,2026-03-06,6,3,Q1,2026
D066,2026-03-07,7,3,Q1,2026
D067,2026-03-08,8,3,Q1,2026
D068,2026-03-09,9,3,Q1,2026
D069,2026-03-10,10,3,Q1,2026
D070,2026-03-11,11,3,Q1,2026
D071,2026-03-12,12,3,Q1,2026
D072,2026-03-13,13,3,Q1,2026
D073,2026-03-14,14,3,Q1,2026
D074,2026-03-15,15,3,Q1,2026
D075,2026-03-16,16,3,Q1,2026
D076,2026-03-17,17,3,Q1,2026
D077,2026-03-18,18,3,Q1,2026
D078,2026-03-19,19,3,Q1,2026
D079,2026-03-20,20,3,Q1,2026
D080,2026-03-21,21,3,Q1,2026
D081,2026-03-22,22,3,Q1,2026
D082,2026-03-23,23,3,Q1,2026
D083,2026-03-24,24,3,Q1,2026
D084,2026-03-25,25,3,Q1,2026
D085,2026-03-26,26,3,Q1,2026
D086,2026-03-27,27,3,Q1,2026
D087,2026-03-28,28,3,Q1,2026
D088,2026-03-29,29,3,Q1,2026
D089,2026-03-30,30,3,Q1,2026
D090,2026-03-31,31,3,Q1,2026
D091,2026-04-01,1,4,Q2,2026
D092,2026-04-02,2,4,Q2,2026
D093,2026-04-03,3,4,Q2,2026
D094,2026-04-04,4,4,Q2,2026
D095,2026-04-05,5,4,Q2,2026
D096,2026-04-06,6,4,Q2,2026
D097,2026-04-07,7,4,Q2,2026
D098,2026-04-08,8,4,Q2,2026
D099,2026-04-09,9,4,Q2,2026
D100,2026-04-10,10,4,Q2,2026
D101,2026-04-11,11,4,Q2,2026
D102,2026-04-12,12,4,Q2,2026
D103,2026-04-13,13,4,Q2,2026
D104,2026-04-14,14,4,Q2,2026
D105,2026-04-15,15,4,Q2,2026
D106,2026-04-16,16,4,Q2,2026
D107,2026-04-17,17,4,Q2,2026
D108,2026-04-18,18,4,Q2,2026
D109,2026-04-19,19,4,Q2,2026
D110,2026-04-20,20,4,Q2,2026
D111,2026-04-21,21,4,Q2,2026
D112,2026-04-22,22,4,Q2,2026
D113,2026-04-23,23,4,Q2,2026
D114,2026-04-24,24,4,Q2,2026
D115,2026-04-25,25,4,Q2,2026
D116,2026-04-26,26,4,Q2,2026
D117,2026-04-27,27,4,Q2,2026
D118,2026-04-28,28,4,Q2,2026
D119,2026-04-29,29,4,Q2,2026
D120,2026-04-30,30,4,Q2,2026
D121,2026-05-01,1,5,Q2,2026
D122,2026-05-02,2,5,Q2,2026
D123,2026-05-03,3,5,Q2,2026
D124,2026-05-04,4,5,Q2,2026
D125,2026-05-05,5,5,Q2,2026
D126,2026-05-06,6,5,Q2,2026
D127,2026-05-07,7,5,Q2,2026
D128,2026-05-08,8,5,Q2,2026
D129,2026-05-09,9,5,Q2,2026
D130,2026-05-10,10,5,Q2,2026
D131,2026-05-11,11,5,Q2,2026
D132,2026-05-12,12,5,Q2,2026
D133,2026-05-13,13,5,Q2,2026
D134,2026-05-14,14,5,Q2,2026
D135,2026-05-15,15,5,Q2,2026
D136,2026-05-16,16,5,Q2,2026
D137,2026-05-17,17,5,Q2,2026
D138,2026-05-18,18,5,Q2,2026
D139,2026-05-19,19,5,Q2,2026
D140,2026-05-20,20,5,Q2,2026
D141,2026-05-21,21,5,Q2,2026
D142,2026-05-22,22,5,Q2,2026
D143,2026-05-23,23,5,Q2,2026
D144,2026-05-24,24,5,Q2,2026
D145,2026-05-25,25,5,Q2,2026
D146,2026-05-26,26,5,Q2,2026
D147,2026-05-27,27,5,Q2,2026
D148,2026-05-28,28,5,Q2,2026
D149,2026-05-29,29,5,Q2,2026
D150,2026-05-30,30,5,Q2,2026
D151,2026-05-31,31,5,Q2,2026
D152,2026-06-01,1,6,Q2,2026
D153,2026-06-02,2,6,Q2,2026
D154,2026-06-03,3,6,Q2,2026
D155,2026-06-04,4,6,Q2,2026
D156,2026-06-05,5,6,Q2,2026
D157,2026-06-06,6,6,Q2,2026
D158,2026-06-07,7,6,Q2,2026
D159,2026-06-08,8,6,Q2,2026
D160,2026-06-09,9,6,Q2,2026
D161,2026-06-10,10,6,Q2,2026
D162,2026-06-11,11,6,Q2,2026
D163,2026-06-12,12,6,Q2,2026
D164,2026-06-13,13,6,Q2,2026
D165,2026-06-14,14,6,Q2,2026
D166,2026-06-15,15,6,Q2,2026
D167,2026-06-16,16,6,Q2,2026
D168,2026-06-17,17,6,Q2,2026
D169,2026-06-18,18,6,Q2,2026
D170,2026-06-19,19,6,Q2,2026
D171,2026-06-20,20,6,Q2,2026
D172,2026-06-21,21,6,Q2,2026
D173,2026-06-22,22,6,Q2,2026
D174,2026-06-23,23,6,Q2,2026
D175,2026-06-24,24,6,Q2,2026
D176,2026-06-25,25,6,Q2,2026
D177,2026-06-26,26,6,Q2,2026
D178,2026-06-27,27,6,Q2,2026
D179,2026-06-28,28,6,Q2,2026
D180,2026-06-29,29,6,Q2,2026
D181,2026-06-30,30,6,Q2,2026
D182,2026-07-01,1,7,Q3,2026
D183,2026-07-02,2,7,Q3,2026
D184,2026-07-03,3,7,Q3,2026
D185,2026-07-04,4,7,Q3,2026
D186,2026-07-05,5,7,Q3,2026
D187,2026-07-06,6,7,Q3,2026
D188,2026-07-07,7,7,Q3,2026
D189,2026-07-08,8,7,Q3,2026
D190,2026-07-09,9,7,Q3,2026
D191,2026-07-10,10,7,Q3,2026
D192,2026-07-11,11,7,Q3,2026
D193,2026-07-12,12,7,Q3,2026
D194,2026-07-13,13,7,Q3,2026
D195,2026-07-14,14,7,Q3,2026
D196,2026-07-15,15,7,Q3,2026
D197,2026-07-16,16,7,Q3,2026
D198,2026-07-17,17,7,Q3,2026
D199,2026-07-18,18,7,Q3,2026
D200,2026-07-19,19,7,Q3,2026
D201,2026-07-20,20,7,Q3,2026
D202,2026-07-21,21,7,Q3,2026
D203,2026-07-22,22,7,Q3,2026
D204,2026-07-23,23,7,Q3,2026
D205,2026-07-24,24,7,Q3,2026
D206,2026-07-25,25,7,Q3,2026
D207,2026-07-26,26,7,Q3,2026
D208,2026-07-27,27,7,Q3,2026
D209,2026-07-28,28,7,Q3,2026
D210,2026-07-29,29,7,Q3,2026
D211,2026-07-30,30,7,Q3,2026
D212,2026-07-31,31,7,Q3,2026
D213,2026-08-01,1,8,Q3,2026
D214,2026-08-02,2,8,Q3,2026
D215,2026-08-03,3,8,Q3,2026
D216,2026-08-04,4,8,Q3,2026
D217,2026-08-05,5,8,Q3,2026
D218,2026-08-06,6,8,Q3,2026
D219,2026-08-07,7,8,Q3,2026
D220,2026-08-08,8,8,Q3,2026
D221,2026-08-09,9,8,Q3,2026
D222,2026-08-10,10,8,Q3,2026
D223,2026-08-11,11,8,Q3,2026
D224,2026-08-12,12,8,Q3,2026
D225,2026-08-13,13,8,Q3,2026
D226,2026-08-14,14,8,Q3,2026
D227,2026-08-15,15,8,Q3,2026
D228,2026-08-16,16,8,Q3,2026
D229,2026-08-17,17,8,Q3,2026
D230,2026-08-18,18,8,Q3,2026
D231,2026-08-19,19,8,Q3,2026
D232,2026-08-20,20,8,Q3,2026
D233,2026-08-21,21,8,Q3,2026
D234,2026-08-22,22,8,Q3,2026
D235,2026-08-23,23,8,Q3,2026
D236,2026-08-24,24,8,Q3,2026
D237,2026-08-25,25,8,Q3,2026
D238,2026-08-26,26,8,Q3,2026
D239,2026-08-27,27,8,Q3,2026
D240,2026-08-28,28,8,Q3,2026
D241,2026-08-29,29,8,Q3,2026
D242,2026-08-30,30,8,Q3,2026
D243,2026-08-31,31,8,Q3,2026
D244,2026-09-01,1,9,Q3,2026
D245,2026-09-02,2,9,Q3,2026
D246,2026-09-03,3,9,Q3,2026
D247,2026-09-04,4,9,Q3,2026
D248,2026-09-05,5,9,Q3,2026
D249,2026-09-06,6,9,Q3,2026
D250,2026-09-07,7,9,Q3,2026
D251,2026-09-08,8,9,Q3,2026
D252,2026-09-09,9,9,Q3,2026
D253,2026-09-10,10,9,Q3,2026
D254,2026-09-11,11,9,Q3,2026
D255,2026-09-12,12,9,Q3,2026
D256,2026-09-13,13,9,Q3,2026
D257,2026-09-14,14,9,Q3,2026
D258,2026-09-15,15,9,Q3,2026
D259,2026-09-16,16,9,Q3,2026
D260,2026-09-17,17,9,Q3,2026
D261,2026-09-18,18,9,Q3,2026
D262,2026-09-19,19,9,Q3,2026
D263,2026-09-20,20,9,Q3,2026
D264,2026-09-21,21,9,Q3,2026
D265,2026-09-22,22,9,Q3,2026
D266,2026-09-23,23,9,Q3,2026
D267,2026-09-24,24,9,Q3,2026
D268,2026-09-25,25,9,Q3,2026
D269,2026-09-26,26,9,Q3,2026
D270,2026-09-27,27,9,Q3,2026
D271,2026-09-28,28,9,Q3,2026
D272,2026-09-29,29,9,Q3,2026
D273,2026-09-30,30,9,Q3,2026
D274,2026-10-01,1,10,Q4,2026
D275,2026-10-02,2,10,Q4,2026
D276,2026-10-03,3,10,Q4,2026
D277,2026-10-04,4,10,Q4,2026
D278,2026-10-05,5,10,Q4,2026
D279,2026-10-06,6,10,Q4,2026
D280,2026-10-07,7,10,Q4,2026
D281,2026-10-08,8,10,Q4,2026
D282,2026-10-09,9,10,Q4,2026
D283,2026-10-10,10,10,Q4,2026
D284,2026-10-11,11,10,Q4,2026
D285,2026-10-12,12,10,Q4,2026
D286,2026-10-13,13,10,Q4,2026
D287,2026-10-14,14,10,Q4,2026
D288,2026-10-15,15,10,Q4,2026
D289,2026-10-16,16,10,Q4,2026
D290,2026-10-17,17,10,Q4,2026
D291,2026-10-18,18,10,Q4,2026
D292,2026-10-19,19,10,Q4,2026
D293,2026-10-20,20,10,Q4,2026
D294,2026-10-21,21,10,Q4,2026
D295,2026-10-22,22,10,Q4,2026
D296,2026-10-23,23,10,Q4,2026
D297,2026-10-24,24,10,Q4,2026
D298,2026-10-25,25,10,Q4,2026
D299,2026-10-26,26,10,Q4,2026
D300,2026-10-27,27,10,Q4,2026
D301,2026-10-28,28,10,Q4,2026
D302,2026-10-29,29,10,Q4,2026
