market_access_id,ppa_id,date_id,region_id,access_level,reimbursement_status,patient_copay,restrictions,volume
MA0001,PPA001,D133,R001,Low,Partially Reimbursed,92,Step Therapy,7853
MA0002,PPA001,D175,R008,Low,Not Reimbursed,77,Quantity Limit,9117
MA0003,PPA001,D144,R005,Medium,Partially Reimbursed,59,Prior Authorization,4218
MA0004,PPA001,D306,R008,High,Reimbursed,22,None,8879
MA0005,PPA001,D360,R007,Low,Partially Reimbursed,63,Step Therapy,4630
MA0006,PPA001,D142,R007,Low,Not Reimbursed,98,Step Therapy,4736
MA0007,PPA001,D285,R005,High,Partially Reimbursed,28,None,3039
MA0008,PPA001,D006,R008,Medium,Reimbursed,64,None,845
MA0009,PPA001,D265,R001,High,Reimbursed,18,Prior Authorization,8142
MA0010,PPA001,D098,R003,High,Partially Reimbursed,46,None,7943
MA0011,PPA002,D175,R007,Medium,Reimbursed,67,Quantity Limit,5103
MA0012,PPA002,D095,R002,Low,Not Reimbursed,89,Quantity Limit,1725
MA0013,PPA002,D027,R009,High,Partially Reimbursed,26,Prior Authorization,2673
MA0014,PPA002,D130,R010,High,Reimbursed,14,None,6793
MA0015,PPA002,D245,R001,Medium,Partially Reimbursed,60,Prior Authorization,3892
MA0016,PPA002,D059,R003,Medium,Partially Reimbursed,74,Quantity Limit,1266
MA0017,PPA002,D034,R006,Low,Partially Reimbursed,66,Step Therapy,9763
MA0018,PPA002,D206,R005,Low,Not Reimbursed,62,Prior Authorization,9022
MA0019,PPA002,D252,R006,High,Partially Reimbursed,27,Step Therapy,1269
MA0020,PPA002,D038,R007,High,Reimbursed,29,None,9425
MA0021,PPA002,D296,R008,Medium,Partially Reimbursed,59,Step Therapy,6694
MA0022,PPA002,D323,R004,Medium,Partially Reimbursed,61,Step Therapy,9898
MA0023,PPA003,D222,R001,Low,Not Reimbursed,86,None,2970
MA0024,PPA003,D166,R010,Medium,Partially Reimbursed,58,Quantity Limit,3073
MA0025,PPA003,D310,R009,Low,Not Reimbursed,81,Quantity Limit,7800
MA0026,PPA003,D129,R006,Medium,Partially Reimbursed,50,Step Therapy,2734
MA0027,PPA003,D014,R010,Medium,Partially Reimbursed,61,Prior Authorization,6661
MA0028,PPA004,D019,R005,Low,Not Reimbursed,95,Prior Authorization,9124
MA0029,PPA004,D233,R002,High,Reimbursed,15,None,1958
MA0030,PPA004,D046,R004,Medium,Not Reimbursed,71,Quantity Limit,8265
MA0031,PPA004,D162,R008,Low,Partially Reimbursed,95,Prior Authorization,8005
MA0032,PPA004,D130,R007,Medium,Reimbursed,65,None,3222
MA0033,PPA004,D166,R008,Low,Not Reimbursed,58,Quantity Limit,4626
MA0034,PPA004,D060,R003,Medium,Partially Reimbursed,62,Prior Authorization,142
MA0035,PPA004,D207,R006,Medium,Partially Reimbursed,67,Step Therapy,8122
MA0036,PPA004,D264,R010,High,Reimbursed,40,None,9142
MA0037,PPA004,D001,R005,Low,Partially Reimbursed,70,Quantity Limit,4012
MA0038,PPA004,D337,R007,Low,Partially Reimbursed,99,Prior Authorization,5313
MA0039,PPA004,D278,R002,Low,Not Reimbursed,74,Prior Authorization,2592
MA0040,PPA004,D237,R010,Medium,Not Reimbursed,38,Step Therapy,9769
MA0041,PPA005,D052,R005,Low,Not Reimbursed,81,Quantity Limit,688
MA0042,PPA005,D226,R010,Low,Reimbursed,90,Step Therapy,4808
MA0043,PPA005,D270,R004,High,Partially Reimbursed,37,Quantity Limit,1746
MA0044,PPA005,D234,R007,Medium,Reimbursed,49,Quantity Limit,853
MA0045,PPA005,D008,R007,Medium,Partially Reimbursed,48,Prior Authorization,7156
MA0046,PPA005,D074,R009,High,Reimbursed,36,None,3050
MA0047,PPA005,D210,R009,High,Reimbursed,49,Step Therapy,4045
MA0048,PPA005,D336,R009,Medium,Not Reimbursed,39,Prior Authorization,4261
MA0049,PPA005,D080,R004,Medium,Reimbursed,30,Quantity Limit,7722
MA0050,PPA005,D039,R004,Medium,Partially Reimbursed,40,None,5761
MA0051,PPA006,D154,R004,High,Partially Reimbursed,32,None,3215
MA0052,PPA006,D328,R003,Low,Partially Reimbursed,98,Step Therapy,2340
MA0053,PPA006,D218,R007,Low,Reimbursed,90,Step Therapy,5161
MA0054,PPA006,D354,R001,Medium,Reimbursed,53,Step Therapy,1576
MA0055,PPA006,D129,R009,Medium,Partially Reimbursed,56,None,2265
MA0056,PPA006,D234,R004,Low,Not Reimbursed,73,Step Therapy,4565
MA0057,PPA006,D155,R001,High,Reimbursed,40,Quantity Limit,4935
MA0058,PPA006,D102,R009,Low,Not Reimbursed,57,Step Therapy,1333
MA0059,PPA006,D197,R008,High,Partially Reimbursed,24,Step Therapy,6611
MA0060,PPA006,D248,R010,Low,Partially Reimbursed,100,Prior Authorization,4432
MA0061,PPA006,D055,R010,Low,Partially Reimbursed,73,Step Therapy,4395
MA0062,PPA006,D122,R008,Low,Partially Reimbursed,90,Quantity Limit,1875
MA0063,PPA006,D196,R009,Low,Partially Reimbursed,51,Step Therapy,9298
MA0064,PPA006,D293,R010,Medium,Not Reimbursed,44,Step Therapy,7706
