ppa_id,payer_id,product_id,access_status,coverage_type,formulary_tier,start_date,end_date,price_paid,currency
PPA001,PY001,P008,Covered,Partial,Tier 2,2026-01-01,2026-12-31,357,USD
PPA002,PY001,P019,Pending,Partial,Tier 3,2026-01-01,2026-12-31,290,USD
PPA003,PY001,P003,Pending,Partial,Tier 2,2026-01-01,2026-12-31,385,USD
PPA004,PY001,P018,Not Covered,None,Tier 3,2026-01-01,2026-12-31,244,USD
PPA005,PY001,P016,Pending,Full,Tier 2,2026-01-01,2026-12-31,135,USD
PPA006,PY002,P011,Covered,Full,Tier 1,2026-01-01,2026-12-31,137,USD
PPA007,PY002,P001,Covered,Full,Tier 3,2026-01-01,2026-12-31,56,USD
PPA008,PY002,P018,Restricted,Conditional,Tier 4,2026-01-01,2026-12-31,129,USD
PPA009,PY002,P008,Restricted,None,Tier 2,2026-01-01,2026-12-31,421,USD
PPA010,PY002,P017,Pending,None,Tier 2,2026-01-01,2026-12-31,68,USD
PPA011,PY003,P014,Covered,Full,Tier 1,2026-01-01,2026-12-31,226,USD
PPA012,PY003,P012,Not Covered,Full,Tier 2,2026-01-01,2026-12-31,118,USD
PPA013,PY003,P020,Restricted,None,Tier 2,2026-01-01,2026-12-31,236,USD
PPA014,PY003,P018,Restricted,Conditional,Tier 4,2026-01-01,2026-12-31,147,USD
PPA015,PY003,P015,Covered,None,Tier 1,2026-01-01,2026-12-31,45,USD
PPA016,PY004,P018,Covered,Partial,Tier 4,2026-01-01,2026-12-31,21,USD
PPA017,PY004,P001,Pending,Conditional,Tier 4,2026-01-01,2026-12-31,166,USD
PPA018,PY004,P003,Pending,None,Tier 2,2026-01-01,2026-12-31,117,USD
PPA019,PY004,P008,Not Covered,Partial,Tier 1,2026-01-01,2026-12-31,316,USD
PPA020,PY004,P006,Covered,Conditional,Tier 1,2026-01-01,2026-12-31,45,USD
PPA021,PY004,P007,Pending,Partial,Tier 1,2026-01-01,2026-12-31,280,USD
PPA022,PY004,P017,Covered,Partial,Tier 1,2026-01-01,2026-12-31,324,USD
PPA023,PY004,P014,Covered,Partial,Tier 4,2026-01-01,2026-12-31,81,USD
PPA024,PY004,P004,Restricted,Full,Tier 1,2026-01-01,2026-12-31,234,USD
PPA025,PY004,P015,Not Covered,Conditional,Tier 2,2026-01-01,2026-12-31,362,USD
PPA026,PY005,P011,Covered,Full,Tier 4,2026-01-01,2026-12-31,338,USD
PPA027,PY005,P008,Covered,Full,Tier 2,2026-01-01,2026-12-31,279,USD
PPA028,PY005,P009,Not Covered,Partial,Tier 3,2026-01-01,2026-12-31,471,USD
PPA029,PY005,P013,Covered,Partial,Tier 3,2026-01-01,2026-12-31,165,USD
PPA030,PY005,P005,Restricted,None,Tier 3,2026-01-01,2026-12-31,333,USD
PPA031,PY005,P020,Covered,Conditional,Tier 1,2026-01-01,2026-12-31,500,USD
PPA032,PY005,P015,Restricted,Conditional,Tier 1,2026-01-01,2026-12-31,475,USD
PPA033,PY005,P016,Covered,Partial,Tier 3,2026-01-01,2026-12-31,164,USD
PPA034,PY005,P019,Restricted,Conditional,Tier 2,2026-01-01,2026-12-31,371,USD
PPA035,PY005,P006,Not Covered,None,Tier 3,2026-01-01,2026-12-31,483,USD
PPA036,PY006,P003,Not Covered,Partial,Tier 3,2026-01-01,2026-12-31,102,USD
PPA037,PY006,P014,Pending,None,Tier 1,2026-01-01,2026-12-31,77,USD
PPA038,PY006,P009,Covered,Partial,Tier 1,2026-01-01,2026-12-31,447,USD
PPA039,PY006,P002,Not Covered,Partial,Tier 4,2026-01-01,2026-12-31,85,USD
PPA040,PY006,P001,Covered,Conditional,Tier 3,2026-01-01,2026-12-31,480,USD
PPA041,PY007,P012,Pending,Partial,Tier 2,2026-01-01,2026-12-31,462,USD
PPA042,PY007,P007,Restricted,Partial,Tier 4,2026-01-01,2026-12-31,32,USD
PPA043,PY007,P008,Restricted,Conditional,Tier 4,2026-01-01,2026-12-31,430,USD
PPA044,PY007,P004,Restricted,Conditional,Tier 2,2026-01-01,2026-12-31,423,USD
PPA045,PY007,P020,Covered,None,Tier 1,2026-01-01,2026-12-31,459,USD
